idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
27,Feminino,Preta,Não,TRUE,Espírito Santo (ES),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,"PostgreSQL, SQL SERVER, SQLite",Google Cloud (GCP),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
24,Feminino,Parda,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,
25,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 1 a 2 anos,Python,"Google BigQuery, Google Cloud Storage",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
26,Masculino,Parda,Não,TRUE,Minas Gerais (MG),Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 1 a 2 anos,R,MySQL,Azure (Microsoft),Analista de Dados/Data Analyst
27,Masculino,Parda,Não,TRUE,Paraná (PR),Pós-graduação,Outras Engenharias,Menos de 1 ano,Python,"Amazon Redshift, MongoDB, Amazon Aurora ou RDS",Não sei opinar,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
29,Masculino,Preta,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Menos de 1 ano,Python,MySQL,Não sei opinar,Analista de BI/BI Analyst
33,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 4 a 6 anos,Python,"Microsoft Access, SQL SERVER",Não sei opinar,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
24,Feminino,Branca,Não,TRUE,Distrito Federal (DF),Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,,,,,
25,Masculino,Branca,Não,TRUE,Paraná (PR),Estudante de Graduação,Outras Engenharias,Menos de 1 ano,Python,Google BigQuery,Amazon Web Services (AWS),Analista de BI/BI Analyst
27,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Menos de 1 ano,Python,MySQL,Amazon Web Services (AWS),Analista de Negócios/Business Analyst
26,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,ClickHouse,Google Cloud (GCP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
31,Masculino,Preta,Não,TRUE,Rio Grande do Sul (RS),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 1 a 2 anos,Python,"Amazon Redshift, Oracle, PostgreSQL, Amazon Athena",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
32,Masculino,Parda,Não,TRUE,Bahia (BA),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,,,
40,Feminino,Parda,Não,TRUE,Bahia (BA),Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 7 a 10 anos,Python,Base de dados local,Não sei opinar,Analista de Suporte/Analista Técnico
29,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 3 a 4 anos,Python,"MongoDB, Redis, PostgreSQL, Elaticsearch, S3",Google Cloud (GCP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
35,Masculino,Parda,Não,TRUE,Rio Grande do Sul (RS),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Mais de 10 anos,,,,
32,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 7 a 10 anos,,,,
18,Masculino,Parda,Não,TRUE,Paraná (PR),Não tenho graduação formal,,Não tenho experiência na área de dados,Python,Microsoft Access,Não sei opinar,Outra Opção
29,Masculino,Branca,Não,TRUE,Distrito Federal (DF),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,Python,"MySQL, SQL SERVER, PostgreSQL, SQLite",Não sei opinar,Cientista de Dados/Data Scientist
24,Masculino,Preta,Não,TRUE,São Paulo (SP),Estudante de Graduação,Química / Física,Menos de 1 ano,Python,Google BigQuery,Google Cloud (GCP),Analista de Dados/Data Analyst
24,Masculino,Prefiro não informar,Não,TRUE,Rio de Janeiro (RJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Menos de 1 ano,Python,PostgreSQL,Amazon Web Services (AWS),Engenheiro de Machine Learning/ML Engineer
46,Masculino,Branca,Não,TRUE,Paraná (PR),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 3 a 4 anos,,,,
29,Masculino,Branca,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 3 a 4 anos,Python,"Hive, Elaticsearch, Amazon Aurora ou RDS, SQL SERVER, Presto, S3, MySQL, Amazon Athena, DynamoDB, Amazon Redshift, PostgreSQL, Oracle",Amazon Web Services (AWS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
30,Feminino,Branca,Não,TRUE,Paraíba (PB),Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de 1 a 2 anos,Python,S3,Amazon Web Services (AWS),Cientista de Dados/Data Scientist
37,Feminino,Branca,Não,FALSE,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 1 a 2 anos,Python,"SQL SERVER, MySQL, PostgreSQL, Google BigQuery",Google Cloud (GCP),Cientista de Dados/Data Scientist
28,Masculino,Branca,Não,TRUE,Mato Grosso do Sul (MS),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 3 a 4 anos,Python,"Splunk, Amazon Athena, Google BigQuery",Google Cloud (GCP),Engenheiro de Machine Learning/ML Engineer
40,Masculino,Branca,Não,TRUE,Paraíba (PB),Pós-graduação,Outras Engenharias,de 1 a 2 anos,Python,"SAP HANA, DB2, Hive, Databricks, MySQL, Amazon Redshift, Google BigQuery, Amazon Athena, PostgreSQL, S3, Presto, SQL SERVER, MongoDB",Google Cloud (GCP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
28,Masculino,Parda,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,S3,Amazon Web Services (AWS),Cientista de Dados/Data Scientist
30,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Outras Engenharias,de 4 a 6 anos,Python,SQL SERVER,Azure (Microsoft),Analista de Negócios/Business Analyst
34,Feminino,Parda,Não,TRUE,Distrito Federal (DF),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,,,,
33,Masculino,Prefiro não informar,Não,TRUE,Ceará (CE),Graduação/Bacharelado,Química / Física,de 4 a 6 anos,Python,"Google BigQuery, MongoDB, PostgreSQL",Google Cloud (GCP),Analista de Dados/Data Analyst
28,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,Python,"Google BigQuery, MySQL",Não sei opinar,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
34,Masculino,Preta,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 7 a 10 anos,Python,"Amazon Redshift, SQL SERVER, Oracle",Amazon Web Services (AWS),Analista de BI/BI Analyst
